Escherichia coli
50.0
140.0
50.0
40.0
70.0
100.0
100.0
38.9
1553.1
547.7
35.4
114.3
16.1
14.8
14.4
344.8
69.1
123.6
57.3
8.6
131.7
218.7
410.6
122.3
224.7
6.3
104.0
49.5
17.3
88.4
125.2
73.8
45.3
88.5
144.5
118.4
94.5
34.4
21.6
172.3
18.6
579.4
325.5
17.5
41.0
117.8
172.3
185.0
85.5
14.6
35.5
201.4
201.4
178.9
43.5
47.2
155.3
133.4
290.0
86.0
47.1
29.5
69.1
248.9
161.6
93.3
71.7
17.1
5.2
8.6
59.4
131.4
127.4
69.7
30.9
3.1
38.9
39.9
116.9
101.2
54.9
61.8
160.7
48.7
139.6
71.7
29.8
123.0
72.0
27.0
33.0
28.0
39.0
22.0
0.0
39.0
55.0
19.0
16.0
58.1
461.1
193.5
77.6
166.4
83.3
18.5
209.8
72.8
115.0
69.0
43.0
16.1
178.9
172.5
99.3
866.4
111.2
23.3
2419.6
1986.3
17.3
65.0
47.1
16.1
28.2
172.3
166.4
156.5
116.2
8.6
307.6
517.2
82.6
141.4
387.3
14.4
344.8
96.1
72.7
44.8
161.6
23.8
88.5
36.4
24.3
980.4
75.2
648.8
25.0
25.9
71.7
62.0
49.6
178.5
33.7
19.7
145.0
54.8
238.2
81.6
81.6
62.6
261.3
95.9
93.3
98.5
39.1
16.1
36.8
206.4
43.5
68.9
31.5
25.6
38.9
45.7
118.7
135.5
76.3
90.5
24.1
10.9
27.9
39.9
42.6
166.4
54.6
125.9
866.4
461.1
78.9
38.8
26.2
36.0
123.0
39.0
0.0
0.0
36.0
55.0
39.0
85.5
461.1
62.4
172.3
117.8
83.6
6.3
34.5
1119.9
120.0
1046.0
921.0
23.3
79.8
122.3
235.9
344.8
32.3
9.8
78.9
47.1
102.2
76.2
69.1
151.0
48.7
81.6
63.1
579.4
26.5
36.8
115.3
461.1
410.6
107.6
14.8
290.9
165.8
146.0
26.2
6.4
137.6
11.1
165.2
47.8
69.7
59.1
1.0
31.8
410.6
11.9
19.9
23.8
119.8
248.9
105.4
172.7
30.9
28.8
1413.6
209.8
59.4
8.6
62.0
70.3
88.0
15.8
44.1
9.7
90.5
142.1
218.7
72.3
56.3
16.0
1732.9
98.8
95.9
52.0
69.7
20.1
98.8
118.7
159.7
228.2
25.3
41.4
579.4
114.5
195.6
59.8
18.7
10.0
10.0
10.0
20.0
120.0
200.0
25.0
25.0
25.0
22.0
8.0
22.0
5.0
25.0
25.0
13.0
19.0
46.0
13.5
43.5
60.5
39.9
2.4
65.7
5.2
178.0
27.2
27.0
25.0
5.0
1.0
76.7
48.7
160.7
153.9
38.9
16.1
1553.1
547.7
38.4
114.3
16.1
14.8
7.3
35.5
52.9
39.3
35.9
38.4
30.5
88.2
8.4
19.3
770.1
0.0
61.7
82.6
13.5
33.6
53.6
14.8
11.1
73.8
94.5
30.6
3.1
365.4
18.3
22.2
22.2
24.9
24.1
33.1
13.2
143.9
42.2
51.2
30.9
43.2
80.1
613.1
39.9
93.8
35.5
45.2
23.3
52.9
42.6
4.1
10.9
57.1
118.7
77.6
156.5
13.8
2.0
6.3
43.7
60.5
40.8
67.0
29.2
13.5
14.5
48.0
98.7
13.1
248.9
95.9
47.1
73.3
65.0
24.6
110.0
30.0
100.0
100.0
20.0
2100.0
5.0
30.0
33.0
19.0
9.0
1.0
30.0
39.0
65.0
42.8
248.9
166.4
23.8
178.2
61.6
5.2
488.4
488.4
31.8
28.0
4.0
62.9
613.1
307.6
17.3
115.3
48.7
2.0
1046.2
1732.9
54.6
101.4
41.0
33.1
12.2
47.3
63.1
54.6
22.6
16.1
85.7
106.7
162.4
1299.7
2420.0
23.1
46.0
66.3
6.3
365.4
104.8
18.7
11.1
65.9
36.4
12.1
129.6
15.8
648.8
40.8
25.9
17.1
63.7
48.1
7.4
45.0
30.5
42.2
50.4
74.9
209.8
37.7
15.9
185.0
35.9
17.3
69.7
39.3
64.4
27.2
104.6
137.6
104.3
16.3
9.8
17.3
71.7
125.0
56.5
78.9
79.4
9.6
67.7
67.6
50.4
648.8
60.2
218.7
547.5
74.3
156.5
61.3
33.2
5.0
72.0
28.0
49.0
22.0
5.0
0.0
11.0
46.0
5.0
25.0
33.0
547.5
44.6
48.0
22.3
98.7
14.5
179.3
40.8
31.0
37.0
17.0
20.3
224.7
178.9
17.5
648.8
123.9
72.2
1046.2
2419.6
920.8
60.5
108.1
82.6
307.6
275.5
17.3
33.2
727.0
22.8
31.3
75.4
82.6
71.7
60.2
27.1
45.3
44.3
547.5
25.6
25.0
15.8
79.4
61.3
45.7
36.4
47.3
